id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_merk,produk_dihasilkan,tahun
48,32,JAWA BARAT,3273,KOTA BANDUNG,CUANGKIEU BANDUNG,CUANKIE,2017
49,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPIA IBU RUM,"SUMPIA ORIGINAL, SUMPIA BALADO, SUMPIA PEDAS",2017
50,32,JAWA BARAT,3273,KOTA BANDUNG,KADATUAN,"KOPI BUBUK ARABICA, KOPI BUBUK ROBUSTA",2017
51,32,JAWA BARAT,3273,KOTA BANDUNG,DHILAHÂS,"KUE KERING, KERIPIK",2017
52,32,JAWA BARAT,3273,KOTA BANDUNG,MAWAR BODAS,"KERIPIK PISANG, SALE PISANG, SUMPIA",2017
53,32,JAWA BARAT,3273,KOTA BANDUNG,NASÂS,"MINUMAN TEMULAWAK, MINUMAN TEH, MINUMAN TEH TARIK",2017
54,32,JAWA BARAT,3273,KOTA BANDUNG,ADILABIS,"CHEESE STICK, KACANG UMPET",2017
55,32,JAWA BARAT,3273,KOTA BANDUNG,TASTY,BAWANG GORENG,2017
56,32,JAWA BARAT,3273,KOTA BANDUNG,ANISHA,"KUE KERING, BROWNIES, CAKE",2017
57,32,JAWA BARAT,3273,KOTA BANDUNG,BELIA,"CAKE, BROWNIES, BOLU",2017
58,32,JAWA BARAT,3273,KOTA BANDUNG,BU DARJAT,PEPES IKAN MAS DURI LUNAK,2017
59,32,JAWA BARAT,3273,KOTA BANDUNG,KIRIHUCI,"KIRIHUCI RASA ORIGINAL, KIRIHUCI RASA PEDAS",2017
60,32,JAWA BARAT,3273,KOTA BANDUNG,LINÂS BROWNIES,BROWNIES,2017
61,32,JAWA BARAT,3273,KOTA BANDUNG,CEUYAH,MAKARONI,2017
62,32,JAWA BARAT,3273,KOTA BANDUNG,CIRDUD,"OTAK-OTAK BUMBU RUJAK, CIRENG BUMBU RUJAK RASA ORIGINAL, CIRENG BUMBU
  RUJAK RASA REBON, PEMPEK SUTRA, TEKWAN",2017
63,32,JAWA BARAT,3273,KOTA BANDUNG,DEVINS CAKE,"CAKE, BOLU, BROWNIES, KUE KERING",2017
64,32,JAWA BARAT,3273,KOTA BANDUNG,ASMARA SNACK,"KUE KERING, BROWNIES, BOLU",2017
65,32,JAWA BARAT,3273,KOTA BANDUNG,HIDUP BARU,"ROTI TAWAR, ROTI BAGELEN",2017
66,32,JAWA BARAT,3273,KOTA BANDUNG,HOMEY,"YOGHURT, MILK TEA, SNOWHITE DESSERT",2017
