id,nama,tahun,satuan,nilai,nama_perangkat_daerah,keterangan,status_data,status_publikasi,updated_at
"11718","Jumlah UMKM yang Produktif","2025","UMKM","71,01","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11717","Jumlah UMKM yang Produktif","2024","UMKM","18,06","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11716","Jumlah UMKM yang Produktif","2023","UMKM","17,16","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11715","Jumlah UMKM yang Produktif","2022","UMKM","16325","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11714","Jumlah UMKM yang Produktif","2021","UMKM","15,49","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11713","Jumlah UMKM yang Produktif","2020","UMKM","14953","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11712","Jumlah UMKM yang Produktif","2019","UMKM","14,58","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11711","Jumlah UMKM yang Produktif","2018","UMKM","14,45","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11710","Jumlah UMKM yang Produktif","2017","UMKM","14325","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
