id,nama,tahun,satuan,nilai,nama_perangkat_daerah,keterangan,status_data,status_publikasi,updated_at
"11727","Persentase Pertumbuhan UMKM","2025","Persen","392.65","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11726","Persentase Pertumbuhan UMKM","2024","Persen","5.11","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11725","Persentase Pertumbuhan UMKM","2023","Persen","5.06 4,98","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-26T12:12:20.000000Z"
"11724","Persentase Pertumbuhan UMKM","2022","Persen","5.03","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11723","Persentase Pertumbuhan UMKM","2021","Persen","3.54","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11722","Persentase Pertumbuhan UMKM","2020","Persen","2.52","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11721","Persentase Pertumbuhan UMKM","2019","Persen","0.68","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11720","Persentase Pertumbuhan UMKM","2018","Persen","0.86","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
"11719","Persentase Pertumbuhan UMKM","2017","Persen","0.86","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:58.000000Z"
