id,nama,tahun,satuan,nilai,nama_perangkat_daerah,keterangan,status_data,status_publikasi,updated_at
"11979","Persentase UMKM yang Produktif","2025","Persen","79.15","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
"11978","Persentase UMKM yang Produktif","2024","Persen","99.17","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
"11977","Persentase UMKM yang Produktif","2023","Persen","99.03","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
"11976","Persentase UMKM yang Produktif","2022","Persen","98.98","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
"11975","Persentase UMKM yang Produktif","2021","Persen","98.6","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
"11974","Persentase UMKM yang Produktif","2020","Persen","0","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
"11973","Persentase UMKM yang Produktif","2019","Persen","0","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
"11972","Persentase UMKM yang Produktif","2018","Persen","0","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
"11971","Persentase UMKM yang Produktif","2017","Persen","0","Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian","","Final","Publikasi","2026-07-31T03:32:59.000000Z"
